department,设备型号,设备名称,time,液压压力,流量,油温,振动频率,油液清洁度,status
液压部B,HP-30,HP-30-003,2023-01-01 00:00:00,173.45470087818228,97.32263792056128,32.961254365762024,20.270430053661723,97.56333411391628,正常
液压部B,HP-30,HP-30-003,2023-01-01 01:00:00,104.95303558410228,62.19890796315833,61.94020025215529,9.797110411111076,94.53511141532172,正常
液压部B,HP-30,HP-30-003,2023-01-01 02:00:00,147.2679222834988,86.87530226557197,59.9936489298111,24.223960613829593,86.05770168598787,正常
液压部B,HP-30,HP-30-003,2023-01-01 03:00:00,161.55853691902112,87.71108791480542,74.84898808946406,16.693028718591496,32.700819357942066,污染故障
液压部B,HP-30,HP-30-003,2023-01-01 04:00:00,173.0290322914115,54.22645037493905,76.77699944881445,16.712368270429916,19.681443767413047,污染故障
液压部B,HP-30,HP-30-003,2023-01-01 05:00:00,173.93932560130838,93.95739950252697,73.80664322926813,24.477904269693607,24.11551869392684,污染故障
液压部B,HP-30,HP-30-003,2023-01-01 06:00:00,172.41625873630608,125.87476178433276,73.84062977271513,9.833605518124454,37.86403550504238,污染故障
液压部B,HP-30,HP-30-003,2023-01-01 07:00:00,115.48008978873968,90.6799990965807,51.293442562686614,23.243512056307576,86.23810194338564,正常
液压部B,HP-30,HP-30-003,2023-01-01 08:00:00,160.6561471458869,128.1037011598148,42.239641692560795,21.031396449149252,83.94614879459483,正常
液压部B,HP-30,HP-30-003,2023-01-01 09:00:00,132.49473596178777,54.12167280039084,55.009125954488084,37.502317430528684,81.5699161316851,泵磨损
液压部B,HP-30,HP-30-003,2023-01-01 10:00:00,106.24603283682649,102.70652424580373,47.331169355158536,40.2906287442299,81.97539982419092,泵磨损
液压部B,HP-30,HP-30-003,2023-01-01 11:00:00,142.79432428131648,136.6267844109924,28.89996302788575,33.0067218961886,90.05228582232009,泵磨损
液压部B,HP-30,HP-30-003,2023-01-01 12:00:00,117.38038989221431,108.65388813276033,33.5637903011189,30.84137316125807,97.61011987221065,泵磨损
液压部B,HP-30,HP-30-003,2023-01-01 13:00:00,176.5240800624298,103.07115587351672,44.61241648361322,37.306455363105215,90.70262021616512,泵磨损
液压部B,HP-30,HP-30-003,2023-01-01 14:00:00,127.34593362375017,132.6040063004086,89.44448915282457,22.096200109907006,11.164649724283214,油温过高
液压部B,HP-30,HP-30-003,2023-01-01 15:00:00,189.30839234231107,142.0307860838074,107.84037288834367,24.506552609484725,24.42661554345976,油温过高
液压部B,HP-30,HP-30-003,2023-01-01 16:00:00,158.92538155721277,95.24016465923629,88.66133685646585,22.465475366274696,3.962260849938655,油温过高
液压部B,HP-30,HP-30-003,2023-01-01 17:00:00,101.81295542960044,88.19092155516164,120.85392783318807,20.89058793240208,47.21277983938408,油温过高
液压部B,HP-30,HP-30-003,2023-01-01 18:00:00,134.09286654850632,125.1618499588533,85.28019144129159,21.92816981393347,0.7200436030968298,油温过高
液压部B,HP-30,HP-30-003,2023-01-01 19:00:00,131.34051042968875,134.05565901968274,46.1195406505455,7.808854984468845,98.20754780813469,正常
液压部B,HP-30,HP-30-003,2023-01-01 20:00:00,124.3090321108413,85.9282150100412,34.98868183649038,11.468128203240077,100.14043280435433,正常
液压部B,HP-30,HP-30-003,2023-01-01 21:00:00,118.30161854095225,146.39232502468326,66.05748661327341,15.483469114434843,94.29528871300477,正常
液压部B,HP-30,HP-30-003,2023-01-01 22:00:00,122.78466908094897,142.87020365127324,58.45750708451493,20.871040217899058,93.72499683489369,正常
液压部B,HP-30,HP-30-003,2023-01-01 23:00:00,145.5743308777899,141.86772849592555,58.37758916388852,23.828699873418277,99.88546272987335,正常
