department,设备型号,设备名称,time,振动频率,振幅,相位角,温度,转速,status
设备监测部,VA-25,VA-25-005,2023-01-01 00:00:00,23.160830775834427,0.3052468198751274,309.6395808672262,35.660248765909515,1395.061055837221,正常
设备监测部,VA-25,VA-25-005,2023-01-01 01:00:00,41.62798044255496,1.4057403869892124,50.60296456824135,40.69020083860153,836.0275989582352,正常
设备监测部,VA-25,VA-25-005,2023-01-01 02:00:00,36.60134502713272,1.8865411251033144,120.5848992416052,45.353880614071954,1254.745822877957,正常
设备监测部,VA-25,VA-25-005,2023-01-01 03:00:00,41.390248756369616,1.3254893091240179,228.03866699671596,39.558980987024995,1194.3058975200463,正常
设备监测部,VA-25,VA-25-005,2023-01-01 04:00:00,19.58572647494777,1.4558212261085686,331.5298242648781,28.488727518933622,1698.1979860198076,正常
设备监测部,VA-25,VA-25-005,2023-01-01 05:00:00,81.3471752138037,3.2948243322803514,186.91710823400246,22.844105594415517,1246.7556396485074,共振
设备监测部,VA-25,VA-25-005,2023-01-01 06:00:00,112.4758779247027,3.1063744031199456,289.1899232271024,44.50172362497457,851.6058682194524,共振
设备监测部,VA-25,VA-25-005,2023-01-01 07:00:00,90.53284066301713,4.268547161235354,35.588014923424645,47.486026312846796,1431.623842015836,共振
设备监测部,VA-25,VA-25-005,2023-01-01 08:00:00,39.97420994875897,0.4067086666073094,48.40335074591567,60.07104646007747,1576.5118112142804,正常
设备监测部,VA-25,VA-25-005,2023-01-01 09:00:00,66.90106250839918,1.7190841958299228,146.90421604474466,55.13087005253834,1422.3243529699023,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 10:00:00,82.64097501658078,0.7620768968229704,113.63858348624686,49.95053411668457,1129.7039011082904,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 11:00:00,76.21837647553942,0.5604932443901544,129.90870622462282,56.633198125251056,1227.2255071095556,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 12:00:00,92.04359551377063,1.5449753355426854,122.02240857786826,45.76902347552202,1465.8997026818286,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 13:00:00,74.08930376770724,1.5407614140646793,106.19574855142426,35.95133133774754,1437.367175588703,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 14:00:00,67.58348473354896,0.3153595444300809,145.2094433741666,53.906704219855335,881.9394281148171,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 15:00:00,35.49299990739035,1.8171159221627622,70.76766446435889,36.7371901230453,1172.2083117710943,正常
设备监测部,VA-25,VA-25-005,2023-01-01 16:00:00,47.61944721094775,1.834947558300932,107.8450912467308,48.63365952916299,1499.3607112810644,正常
设备监测部,VA-25,VA-25-005,2023-01-01 17:00:00,15.868526695895387,0.6771713769605217,222.33713222066262,41.641961765125046,1409.0807585113641,正常
设备监测部,VA-25,VA-25-005,2023-01-01 18:00:00,31.602667799918468,1.3735256245125964,117.63904632636762,54.8345281758546,1628.0842615172949,正常
设备监测部,VA-25,VA-25-005,2023-01-01 19:00:00,20.10908535160352,1.9091261746781905,259.1823967618915,31.054459312103656,932.0465196662163,正常
设备监测部,VA-25,VA-25-005,2023-01-01 20:00:00,27.65649428341114,0.49213828616830596,331.50089743167206,36.751354249874275,984.7580553661724,正常
设备监测部,VA-25,VA-25-005,2023-01-01 21:00:00,84.5131450177382,0.15279237306120966,135.92517704465507,32.45960269918037,1310.3625555117396,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 22:00:00,93.56621450258785,0.7105560015898033,143.8119380199309,26.08077997209626,877.4603603270624,不对中
设备监测部,VA-25,VA-25-005,2023-01-01 23:00:00,62.51172955212161,1.7582681596286245,131.6179565569899,30.832951686983098,902.2449163382627,不对中
设备监测部,VA-25,VA-25-005,2023-01-02 00:00:00,86.90622927468422,0.8781970664577509,102.71548077222094,43.80463074048646,977.6824174218945,不对中
设备监测部,VA-25,VA-25-005,2023-01-02 01:00:00,89.12724916788015,0.121572608421245,102.52933856141325,60.89986365583046,1656.0633864418803,不对中
设备监测部,VA-25,VA-25-005,2023-01-02 02:00:00,71.13549686226803,1.4522457828341149,120.51285530652669,58.92450802535196,877.8842440712662,不对中
设备监测部,VA-25,VA-25-005,2023-01-02 03:00:00,68.98214441391576,2.0036649451842017,129.84378905049186,22.25555121065958,933.9862018086924,不对中
设备监测部,VA-25,VA-25-005,2023-01-02 04:00:00,65.45998785736623,1.044048031560586,129.25079662399327,25.183447861798907,1023.6197363199537,不对中
设备监测部,VA-25,VA-25-005,2023-01-02 05:00:00,20.194582692214148,0.5035946324190848,4.60575522359022,55.62256948924045,1809.60972014334,正常
设备监测部,VA-25,VA-25-005,2023-01-02 06:00:00,40.039117015338604,1.8307461669815437,95.24066412783986,27.403654785649227,942.4486460371148,正常
设备监测部,VA-25,VA-25-005,2023-01-02 07:00:00,30.06136682952618,0.849926953677059,283.0803034100983,24.54398097817625,1152.493442189402,正常
设备监测部,VA-25,VA-25-005,2023-01-02 08:00:00,12.531374510114526,1.5310365520057134,59.796964273866074,55.84955929781382,1490.7444609555653,正常
设备监测部,VA-25,VA-25-005,2023-01-02 09:00:00,27.946295552145912,1.9824126840679823,28.189543071664907,30.682096994923324,1072.1594077497025,正常
设备监测部,VA-25,VA-25-005,2023-01-02 10:00:00,17.489507056712263,1.520093786857141,23.07136090071912,42.82283118344753,1160.8261458415334,正常
设备监测部,VA-25,VA-25-005,2023-01-02 11:00:00,84.85960961009614,2.851450585458908,34.17151244796095,64.76222127536933,1151.5574469829432,轴承故障
设备监测部,VA-25,VA-25-005,2023-01-02 12:00:00,80.63131948937816,3.1344144269488776,254.8611920328366,68.43922796596758,1518.490686356173,轴承故障
设备监测部,VA-25,VA-25-005,2023-01-02 13:00:00,63.16108197630089,2.7186639802182215,339.06462843391205,67.83997422419692,1240.3230913421864,轴承故障
