timestamp,device_id,department,安装间隙_mm,阻尼幅值_mV,阻尼频率_Hz,噪声电压_mV,信号频率_Hz,零位输出电压_mV,转速_rps,起转时间_s,工作电流_A,起转控制信号_V,导通阻值1_Ohm,导通阻值2_Ohm,导通阻值3_kOhm,导通阻值4_kOhm,导通阻值5_kOhm,status
2022-08-17 00:54:38,DEV-095,质检部,0.8311626225809988,177.57071488588758,60.31993941811405,38.38121877875851,46.560186404424364,124.52384108974988,118.4065852851774,5.039411374929922,0.6803345035229627,13.248435466776273,0.05146123573950612,2.4247746304049858,1.298931168960506,2.9110519961044856,3.1637096458366867,正常运行
2022-10-13 03:43:54,DEV-087,生产部,0.7948468568721524,158.8230250458266,58.24756431632238,36.04723026098962,47.91229140198042,137.743733946949,118.9764570245643,4.350573578242262,0.6099085529881075,11.736419905302215,1.962939903482534,0.49918445539589934,0.917081326096334,6.331731119758382,1.7016644573759754,正常运行
2022-03-07 01:05:05,DEV-012,研发部,0.8754335218612732,154.94519958693147,53.650515929852794,43.284397521546666,54.656320330745594,143.44352309537737,120.13229638421359,4.117206536807661,0.7052699079536471,11.640914962437607,0.30509558711194706,1.2379422752781755,0.34126622533826206,9.18388361870904,3.994823801280183,正常运行
2022-02-24 20:26:03,DEV-026,维修部,0.8858792340272565,159.03962120659293,58.200680211778106,37.653943910805914,46.84854455525527,148.1179542051722,123.4259297635278,5.127398729877028,0.7684482051282947,12.587399872866511,2.304685587557792,0.22123125512979874,0.5351794349029741,1.4070456001948426,4.713567572243255,正常运行
2023-07-24 00:14:11,DEV-098,研发部,0.8338486850410016,157.86912192144297,61.287375091519294,34.99454657371025,47.809345096873805,135.7381864115892,118.98646957482333,4.962636376904848,0.5223651931039313,14.921321619603104,1.9306119232416434,0.496789203835431,0.3066265405483229,8.339152856093508,8.834059313554265,正常运行
2023-11-28 10:07:01,DEV-020,研发部,0.8985113619277876,172.36684005389242,53.74044651734091,35.018520199619815,46.1586905952513,145.02999935039222,122.3630868877929,4.397077629823179,0.5190675050858071,10.865893930293973,0.8129583050668676,1.82401544584516,1.0650689656262557,8.98491468318694,6.2999211917490525,正常运行
2023-11-21 03:43:16,DEV-012,维修部,0.7827229067282774,170.68409882946685,60.60785048616897,37.85788076597295,52.70967179954561,134.32007229456732,121.65912980567396,4.51304922203026,0.5076257380232285,9.647348561959827,0.07857296421683563,1.591026028159451,0.677227177291592,5.577136220482325,11.001717918401804,正常运行
2023-12-06 21:58:51,DEV-034,生产部,0.8073655235382863,161.90110476803326,60.555511385430485,33.203174316882716,45.76979909828793,128.40279213449926,119.12854901077803,5.115637182811088,0.7424361138693252,12.800422539062541,2.1786514754692945,2.0091801922477863,0.523884070663243,9.0330309864098,7.024896212689028,正常运行
2022-09-13 13:46:55,DEV-011,质检部,0.9134136294811719,175.9866476977813,56.18003474971864,31.540726943387476,47.279351625419416,132.38612587016144,123.72610336145745,5.032876699907613,0.5020856391593572,12.064483815465394,1.0435275078719475,0.5552695261768257,0.44383844080041934,4.038536542632651,11.383424802255206,正常运行
2024-01-11 21:01:14,DEV-025,生产部,0.8214085570839434,165.04492803055763,60.03018958895178,35.090814433310115,54.71782082720961,147.91097155332122,119.76247607077755,4.596698207070863,0.5902634929450309,10.709042966264805,0.09221736838633199,1.523910834949742,0.9032148278746337,1.463308761249904,4.209381813755404,正常运行
