timestamp,device_id,department,status,工作电流_A,起转时间_s,噪声电压_mV,转速_rps,阻尼幅值_mV,零位输出电压_mV,安装间隙_mm,阻尼频率_Hz,信号频率_Hz,起转控制信号_V,导通阻值1_Ohm,导通阻值2_Ohm,导通阻值3_kOhm,导通阻值4_kOhm,导通阻值5_kOhm
2023/8/3 1:45,DEV-083,生产部,润滑系统异常,0.770533308,5.615619892,51.59869739,106.9656519,191.6217301,148.183789,0.777758741,57.19719156,48.05539515,11.25600461,2.716364941,1.72030931,0.775664376,5.114566798,6.852233038
2023/12/27 20:47,DEV-053,质检部,正常运行,0.656233499,4.75242241,37.63598652,118.6881305,172.3231973,152.6898563,0.806116204,62.80999965,49.40490554,12.9850244,1.646474282,1.893247934,0.506012327,4.141934092,4.612700964
2023/6/14 7:51,DEV-078,生产部,正常运行,0.870165037,5.731988625,47.92599886,109.2202497,188.2716769,140.6536608,0.710820156,61.19608485,47.57370188,13.68085197,2.495386908,1.774219976,0.737908158,5.166195445,4.896164968
2023/6/15 13:44,DEV-028,质检部,正常运行,0.646696724,4.775973427,38.39048325,117.0327315,172.3196586,148.5452127,0.769975819,62.04562746,49.40878934,13.6373113,1.83280965,1.631211321,0.756421723,5.81495168,4.941889989
2023/11/14 21:40,DEV-079,生产部,正常运行,0.868546311,5.794219486,47.23894982,110.1816798,190.5436565,138.968141,0.875981943,65.13088456,47.40359195,11.86438177,1.619620245,2.055370852,0.83869892,5.952813182,7.452868729
2023/8/9 2:53,DEV-063,生产部,正常运行,0.830252713,5.852524792,47.79887465,107.2022629,181.7747815,137.2812079,0.768911105,52.61887737,49.09658198,11.35304405,1.392958686,2.004183504,0.97469292,4.781243051,5.380855599
2023/6/13 12:35,DEV-061,维修部,正常运行,0.491539317,5.217886946,41.63720628,112.5846826,176.8223264,144.2788458,0.709960795,58.06617929,50.31616998,11.98277015,1.33025997,2.119954519,0.759726796,4.299821973,6.67643216
2023/3/19 14:39,DEV-080,维修部,电力供应故障,,4.874472904,34.08004167,114.3883007,169.1079827,137.4730689,0.842653622,61.55873188,48.55657313,8.57969601,1.76612601,2.069673506,0.858458747,4.435891516,3.641664519
2023/12/30 10:24,DEV-085,维修部,正常运行,0.495643741,5.150434782,41.57492438,113.8200205,178.1967326,143.6773084,0.714561378,55.69691496,48.19649671,12.49512921,1.648880656,2.048792913,0.812625906,5.084026922,5.292452876
2023/7/30 0:42,DEV-071,生产部,散热系统故障,0.857519787,5.64240177,47.63710965,105.296822,179.4873674,143.8686807,0.790777827,58.64656019,51.38904061,11.61082802,1.941296422,2.023538453,0.886956128,5.572901337,6.896559287
