department,设备型号,设备名称,time,气压,流量,温度,湿度,露点,status
生产部C,PA-40,PA-40-001,2023-01-02 00:00:00,7.778560877286174,183.71787020165883,14.916290480208442,43.24919888049974,6.523449841906972,正常
生产部C,PA-40,PA-40-001,2023-01-02 01:00:00,7.890626640387265,213.64221469856977,31.45898664473772,54.571119396057206,7.183925686275071,正常
生产部C,PA-40,PA-40-001,2023-01-02 02:00:00,6.302211452410104,271.4424701655516,19.11494506158141,45.01871246768999,13.299836940789412,正常
生产部C,PA-40,PA-40-001,2023-01-02 03:00:00,5.83262610251885,146.429351061789,21.233898700102586,52.10298008538535,13.434675121619597,正常
生产部C,PA-40,PA-40-001,2023-01-02 04:00:00,6.598880147380955,99.5052605199218,20.26960366007149,36.46801512772381,8.843697481094992,正常
生产部C,PA-40,PA-40-001,2023-01-02 05:00:00,9.729232661555786,140.82161481469456,33.84241321186677,58.51858694526238,7.816156444349766,正常
生产部C,PA-40,PA-40-001,2023-01-02 06:00:00,7.122933397760186,280.8238167265677,18.08401740912646,33.93094301985236,6.029286028213743,正常
生产部C,PA-40,PA-40-001,2023-01-02 07:00:00,9.914582410826512,264.0436311464492,20.855403399771024,54.14323784866761,10.581789069991457,正常
生产部C,PA-40,PA-40-001,2023-01-02 08:00:00,9.17839279330764,264.82452057047624,34.48628193445939,51.36591291064218,11.64378065805132,正常
生产部C,PA-40,PA-40-001,2023-01-02 09:00:00,6.054473025425737,169.43102150222074,21.45226477456062,32.265337978633134,13.087448448649091,正常
生产部C,PA-40,PA-40-001,2023-01-02 10:00:00,8.49323075005489,290.493155174288,20.05298861026955,55.03162683669505,8.062570821612344,正常
生产部C,PA-40,PA-40-001,2023-01-02 11:00:00,9.13280749834558,164.13226258279855,15.300421722311068,46.39401361042049,8.752742409585236,正常
生产部C,PA-40,PA-40-001,2023-01-02 12:00:00,9.51816135221795,226.67517203123532,23.37803566804734,54.7873241190152,13.19396355460638,正常
生产部C,PA-40,PA-40-001,2023-01-02 13:00:00,8.663307942438626,235.00970149904268,25.352406151579647,35.28907568156653,6.502456923074107,正常
生产部C,PA-40,PA-40-001,2023-01-02 14:00:00,6.246920920226677,260.6145686037615,22.979314659558145,51.654996919384885,12.84175794619172,正常
生产部C,PA-40,PA-40-001,2023-01-02 15:00:00,9.820510236896826,152.8175235787642,20.43078913090051,33.06311409840393,4.939359824962763,正常
生产部C,PA-40,PA-40-001,2023-01-02 16:00:00,9.859275843327485,162.27803251880087,29.70513749606384,56.82188903948881,13.662427061176745,正常
生产部C,PA-40,PA-40-001,2023-01-02 17:00:00,9.737013220493507,253.2661269145752,17.317646538923047,47.337927275756606,6.223983683224267,正常
生产部C,PA-40,PA-40-001,2023-01-02 18:00:00,3.5588279168318757,5.994591657995856,29.90961067221172,38.96060825347962,6.415195168073731,过滤器堵塞
生产部C,PA-40,PA-40-001,2023-01-02 19:00:00,4.37489297033343,24.31137489894786,17.741985427876315,54.91473545675224,5.857849723570872,过滤器堵塞
生产部C,PA-40,PA-40-001,2023-01-02 20:00:00,4.23746339415543,44.135322986144224,19.148527331008893,60.331914486033874,6.414790613206412,过滤器堵塞
生产部C,PA-40,PA-40-001,2023-01-02 21:00:00,3.973160666036381,13.0397734559647,15.640907271725546,59.72551104007478,11.415572333526432,过滤器堵塞
